"Day","Month","Year","Country.Region","Province","Type"
NA,NA,NA,NA,NA,NA
31,"marzo",2020,"US","Tennessee","Full"
2,"abril",2020,"US","Texas","Full"
NA,NA,NA,NA,NA,NA
25,"marzo",2020,"US","Vermont","Full"
25,"marzo",2020,"US","Virgin Islands","Full"
30,"marzo",2020,"US","Virginia","Full"
23,"marzo",2020,"US","Washington","Full"
24,"marzo",2020,"US","West Virginia","Full"
25,"marzo",2020,"US","Wisconsin","Full"
NA,NA,NA,NA,NA,NA
20,"marzo",2020,"Uzbekistan","","Partial"
10,"marzo",2020,"Vatican City","","Full"
16,"marzo",2020,"Venezuela","","Full"
19,"marzo",2020,"Vietnam","","Full"
5,"marzo",2020,"West Bank and Gaza","","Full"
NA,NA,NA,NA,NA,NA
27,"marzo",2020,"Zimbabwe","","Full"
